AT20,AT60,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMED,RSHAL,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
6.1345,4.8067,12.1299,0.001,2.3783,74.8072,154.3846,46.3843,0.1788,3.1817,4.8067,5.5434,8.5392,2678.05,2678.0752,1,81,59,17.4,-4.0386472,60.3518389
5.8192,5.026,12.115,0.002,2.3896,70.009,158.577,40.7105,0.202,3.1752,5.026,5.4421,7.9032,2678.25,2678.2276,2,58,,14.2,-4.0386472,60.3518389
5.0554,5.0554,12.1153,0.002,2.3947,67.0486,164.2905,54.3805,0.2496,3.6496,5.0554,5.0554,7.0471,2678.46,2678.38,3,64,,15.3,-4.0386472,60.3518389
4.4477,4.4477,12.125,0.0016,2.3762,69.7937,171.9017,64.3643,0.3242,3.7366,4.4477,4.4477,5.1203,2678.46,2678.5324,3,64,,15.3,-4.0386472,60.3518389
3.6285,3.6285,12.165,0,2.3646,76.0842,187.9906,65.5157,0.3505,3.5794,3.6285,3.6285,4.1923,2678.46,2678.6848,3,64,,15.3,-4.0386472,60.3518389
3.1313,2.7907,12.2522,-0.002,2.3569,85.8993,193.5003,63.0549,0.3326,3.1014,2.7907,2.7907,3.5113,2679,2678.8372,5,834,158,22.6,-4.0386472,60.3518389
3.0599,2.7719,12.285,-0.0048,2.3463,95.7143,182.8031,51.1334,0.2768,2.9133,2.7719,2.7719,3.3877,2679,2678.9896,5,834,158,22.6,-4.0386472,60.3518389
3.4323,3.1055,12.2511,-0.006,2.3463,92.8629,184.1883,50.6269,0.2469,2.822,3.1055,3.1055,3.8786,2679.25,2679.142,6,8.7,,18.9,-4.0386472,60.3518389
3.826,3.7298,12.1667,-0.007,2.3285,94.5184,179.8666,48.62,0.2266,2.8634,3.7298,3.7298,4.2627,2679.25,2679.2944,6,8.7,,18.9,-4.0386472,60.3518389
4.0188,3.9964,12.0753,-0.007,2.3248,95.0913,176.3189,48.5798,0.2268,2.9199,3.9964,3.9964,4.4237,2679.5,2679.4468,7,22,,19.2,-4.0386472,60.3518389
4.0519,3.6741,12.025,-0.007,2.3041,96.8225,175.9436,51.0055,0.2378,2.9018,3.4171,3.6741,4.5625,2679.5,2679.5992,7,22,,19.2,-4.0386472,60.3518389
4.0332,3.578,12.025,-0.0063,2.3041,95.598,175.0234,52.8092,0.2531,2.9406,3.3546,3.578,4.6307,2679.75,2679.7516,8,150,,21.9,-4.0386472,60.3518389
3.9961,3.611,12.0214,-0.003,2.3118,93.9561,174.8206,51.6929,0.2579,2.8473,3.4965,3.611,4.6734,2679.95,2679.904,9,128,111,21.1,-4.0386472,60.3518389
3.996,3.6612,11.995,-0.0002,2.3261,93.5248,172.6465,49.9404,0.2562,2.8419,3.6781,3.6612,4.7165,2679.95,2680.0564,9,128,111,21.1,-4.0386472,60.3518389
4.0335,3.678,11.9888,0.001,2.3374,92.9886,172.2573,52.9533,0.2553,2.8325,3.678,3.678,4.76,2680.25,2680.2088,10,92,,20.5,-4.0386472,60.3518389
4.1077,3.7449,11.965,0.001,2.3454,95.6356,168.9817,51.9618,0.2541,2.8982,3.7449,3.7449,4.8933,2680.25,2680.3612,10,92,,20.5,-4.0386472,60.3518389
4.2515,3.9517,11.955,0.001,2.351,90.4958,159.6427,49.9835,0.2467,3.0864,3.9517,3.9517,5.1711,2680.72,2680.5136,12,55,,21.2,-4.0386472,60.3518389
4.9229,4.1699,11.9452,0.001,2.3575,89.8337,154.3464,48.8754,0.2295,3.0621,4.1699,4.2663,5.5921,2680.72,2680.666,12,55,,21.2,-4.0386472,60.3518389
5.3069,4.38,11.945,0.0025,2.3593,87.3475,148.9252,43.8974,0.2107,3.1356,4.38,4.8479,6.3909,2680.72,2680.8184,12,55,,21.2,-4.0386472,60.3518389
5.4644,4.5934,11.945,0.005,2.3798,83.8196,136.8453,41.0155,0.1905,2.9895,4.5934,5.4644,7.3667,2681.05,2680.9708,13,31,30,14.6,-4.0386472,60.3518389
6.2138,5.0187,11.955,0.0082,2.3997,78.6874,133.3368,39.0552,0.1663,3.0388,5.0187,5.9358,8.8347,2681.05,2681.1232,13,31,30,14.6,-4.0386472,60.3518389
6.8949,5.3604,11.955,0.0113,2.4164,78.021,132.448,38.8262,0.1586,3.0763,5.3604,6.3317,9.9789,2681.25,2681.2756,14,33,,13.8,-4.0386472,60.3518389
7.1699,5.3643,11.955,0.0121,2.3798,79.1123,132.982,38.0949,0.1644,3.1129,5.3643,6.3902,10.3917,2681.5,2681.428,15,48,,16.7,-4.0386472,60.3518389
7.1697,5.3216,11.9732,0.01,2.3339,83.9729,135.1059,39.4098,0.1856,3.0441,5.3216,6.3263,10.3944,2681.5,2681.5804,15,48,,16.7,-4.0386472,60.3518389
7.1695,5.099,11.995,0.002,2.3044,83.9099,135.3333,41.0343,0.2065,2.8834,5.099,6.2157,9.8876,2681.68,2681.7328,16,208,,23,-4.0386472,60.3518389
6.7434,5.0504,11.975,0.001,2.3035,81.0343,136.7035,40.8923,0.2104,2.8679,5.0504,5.7893,9.0256,2682.05,2681.8852,17,197,84,22.2,-4.0386472,60.3518389
6.3534,5.0057,11.955,0,2.322,81.5645,164.7895,41.0937,0.2,2.9225,5.0057,5.6776,8.2673,2682.05,2682.0376,17,197,84,22.2,-4.0386472,60.3518389
6.171,5.0055,11.955,-0.002,2.3332,88.5589,174.0101,41.844,0.195,3.032,5.0055,5.5905,7.8748,2682.25,2682.19,18,103,,20.5,-4.0386472,60.3518389
6.0156,4.9093,11.9698,-0.002,2.3253,83.9884,177.4113,42.7933,0.2098,2.968,4.9367,5.4981,7.5412,2682.25,2682.3424,18,103,,20.5,-4.0386472,60.3518389
5.9078,4.8194,11.9911,0,2.3074,85.9798,182.319,44.6972,0.2268,2.9602,4.758,5.2867,7.3607,2682.5,2682.4948,19,61,,16.2,-4.0386472,60.3518389
5.7818,4.6487,12.0625,0.0065,2.3133,88.0112,177.0468,51.0774,0.2346,3.022,4.4793,5.0537,6.9492,2682.75,2682.6472,20,173,,22.7,-4.0386472,60.3518389
5.5512,4.4827,12.1501,0.0111,2.3499,88.3671,183.8399,52.63,0.2487,3.3079,4.2025,4.8297,6.2833,2682.75,2682.7996,20,173,,22.7,-4.0386472,60.3518389
5.1641,4.1483,12.2052,0.0172,2.3994,90.7629,184.6597,61.4864,0.2863,3.4091,3.9419,4.5855,5.1641,2682.94,2682.952,21,146,113,20.6,-4.0386472,60.3518389
4.5701,3.8915,12.225,0.0222,2.4203,95.3503,185.1715,64.6381,0.3681,3.5852,3.3584,4.1144,4.5701,2682.94,2683.1044,21,146,113,20.6,-4.0386472,60.3518389
4.235,3.7789,12.195,0.0217,2.4087,96.4537,194.3867,66.3615,0.3863,3.2634,3.1909,3.8418,4.235,2682.94,2683.2568,21,146,113,20.6,-4.0386472,60.3518389
4.1054,3.7788,12.145,0.0109,2.3587,92.2549,187.4282,57.357,0.3466,2.9554,3.0857,3.8138,4.1054,2683.75,2683.4092,24,423,,21.6,-4.0386472,60.3518389
4.121,3.7787,12.0342,0.0006,2.3236,94.8153,181.7343,54.6416,0.2715,2.5928,3.1327,3.9531,4.121,2683.75,2683.5616,24,423,,21.6,-4.0386472,60.3518389
5.2256,3.9506,11.965,-0.0053,2.3138,93.8137,177.7881,54.0074,0.2249,2.6611,3.6553,4.2698,5.2256,2683.75,2683.714,24,423,,21.6,-4.0386472,60.3518389
5.8253,4.5218,11.955,-0.0067,2.3284,93.0469,170.1016,39.2111,0.2137,2.7879,4.5218,5.1205,6.7502,2683.95,2683.8664,25,475,526,21.8,-4.0386472,60.3518389
6.0572,4.9088,11.9544,-0.0083,2.3325,85.0555,160.9734,37.8982,0.2083,2.8833,4.9088,5.3465,8.1713,2683.95,2684.0188,25,475,526,21.8,-4.0386472,60.3518389
6.1276,4.9124,11.975,-0.009,2.318,84.6932,159.9185,37.0819,0.2025,2.8081,4.9124,5.5473,8.6555,2683.95,2684.1712,25,475,526,21.8,-4.0386472,60.3518389
6.1274,4.9081,11.945,-0.0089,2.3169,85.1714,159.6678,39.5272,0.2014,2.7805,4.9081,5.5626,8.6217,2684.5,2684.3236,27,69,,21.8,-4.0386472,60.3518389
6.0432,4.8671,11.945,-0.0075,2.3366,84.0315,158.1715,41.5568,0.2007,2.8044,4.8671,5.5131,7.8447,2684.5,2684.476,27,69,,21.8,-4.0386472,60.3518389
5.9328,4.7795,11.955,-0.0037,2.359,81.3819,154.6528,43.1275,0.1996,2.7676,4.7795,5.3488,7.602,2684.5,2684.6284,27,69,,21.8,-4.0386472,60.3518389
5.9691,4.756,11.985,-0.0006,2.3685,79.7663,151.0298,42.8223,0.1866,2.7665,4.756,5.1295,7.4694,2684.8,2684.7808,28,128,,19,-4.0386472,60.3518389
6.0725,4.7559,11.9823,0.0019,2.3677,82.6499,148.3597,43.0657,0.1666,2.7219,4.7559,5.096,7.5275,2685.05,2684.9332,29,108,95,19.9,-4.0386472,60.3518389
6.6561,4.7777,11.975,0.004,2.3792,79.1712,148.0649,40.4368,0.1474,2.92,4.7777,5.0959,8.5558,2685.05,2685.0856,29,108,95,19.9,-4.0386472,60.3518389
7.6845,4.865,11.985,0.0082,2.4056,75.8697,147.4746,41.9828,0.1377,3.0591,4.865,5.1414,10.0168,2685.25,2685.238,30,79,,17.8,-4.0386472,60.3518389
7.9635,4.9727,11.985,0.0127,2.4447,68.0906,142.8029,40.5559,0.1148,3.2799,4.9796,5.3744,11.4236,2685.5,2685.3904,31,195,,20.4,-4.0386472,60.3518389
8.7942,5.1902,11.995,0.0171,2.5007,70.7448,136.6564,41.0737,0.0913,3.2567,5.0954,5.6195,13.3784,2685.5,2685.5428,31,195,,20.4,-4.0386472,60.3518389
9.4009,5.3407,12.055,0.0181,2.5472,67.0741,132.1325,41.0556,0.074,3.2471,5.1424,6.0364,15.3876,2685.75,2685.6952,32,0.22,,8.1,-4.0386472,60.3518389
9.8368,5.5055,12.0656,0.015,2.5681,65.6099,125.9918,37.1987,0.0552,3.2305,5.1423,6.5062,16.7798,2685.75,2685.8476,32,0.22,,8.1,-4.0386472,60.3518389
10.3073,5.4846,12.075,0.0076,2.5671,64.9525,125.1057,36.0579,0.0393,3.2354,5.0611,7.1359,20.3059,2686.05,2686,33,0.25,0.14,6.7,-4.0386472,60.3518389
11.0534,5.1842,12.0691,0.0038,2.5808,61.7775,121.2957,33.6541,0.0283,3.2205,4.7768,7.7039,22.0108,2686.2,2686.1524,34,0.63,,7.3,-4.0386472,60.3518389
11.4583,5.1419,12.045,0.001,2.5977,63.2187,116.4567,35.1725,0.0216,3.1673,4.6894,8.1664,24.2729,2686.2,2686.3048,34,0.63,,7.3,-4.0386472,60.3518389
13.5241,5.1417,12.015,-0.001,2.6312,64.6599,110.5021,35.5839,0.0179,3.3873,4.714,8.6223,30.4165,2686.55,2686.4572,35,0.02,,3.7,-4.0386472,60.3518389
14.2921,5.1892,11.995,-0.002,2.6457,66.1011,110.5021,38.1245,0.0193,3.7206,4.8206,8.9282,32.4412,2686.55,2686.6096,35,0.02,,3.7,-4.0386472,60.3518389
14.2917,5.3457,11.995,-0.0029,2.6344,55.8005,116.4567,38.27,0.0292,3.9497,4.8427,8.9348,30.9803,2686.75,2686.762,36,0.02,,3.9,-4.0386472,60.3518389
13.7573,5.5856,12.005,-0.0047,2.5984,57.5532,116.4567,36.4898,0.0616,3.8328,4.8425,8.8245,24.2702,2686.95,2686.9144,37,0.06,0.02,4.1,-4.0386472,60.3518389
12.674,5.7156,11.985,-0.005,2.5548,63.3493,124.1457,41.0373,0.0851,3.8217,4.8295,8.4411,20.752,2686.95,2687.0668,37,0.06,0.02,4.1,-4.0386472,60.3518389
11.0109,5.5936,11.9578,-0.005,2.519,67.8943,126.9772,43.0048,0.1302,3.4144,4.711,7.7768,15.2445,2687.25,2687.2192,38,0.17,,9.9,-4.0386472,60.3518389
10.1219,5.2962,11.975,-0.005,2.44,76.6591,136.5027,41.3576,0.1735,3.0174,4.5818,7.1593,12.9695,2687.25,2687.3716,38,0.17,,9.9,-4.0386472,60.3518389
9.3256,4.9225,11.975,-0.005,2.3568,99.8914,148.201,39.4168,0.2085,2.6565,4.4036,6.8159,11.837,2687.5,2687.524,39,0.11,,10.9,-4.0386472,60.3518389
8.2749,4.6824,11.945,-0.0069,2.2947,90.8559,147.0223,40.4101,0.2329,2.6207,4.2561,6.7145,10.9988,2687.75,2687.6764,40,199,,21.9,-4.0386472,60.3518389
7.6155,4.6026,11.945,-0.009,2.276,92.7628,149.2857,42.9116,0.249,2.7129,4.0921,6.472,10.5601,2687.75,2687.8288,40,199,,21.9,-4.0386472,60.3518389
7.0922,4.6024,11.935,-0.0109,2.2776,86.5731,149.7205,42.1053,0.2475,2.7935,3.9901,5.8906,10.1622,2688.05,2687.9812,41,303,314,21.7,-4.0386472,60.3518389
6.841,4.5261,11.915,-0.0121,2.283,86.9113,150.7628,40.3756,0.2381,2.8685,3.99,5.6227,9.7344,2688.05,2688.1336,41,303,314,21.7,-4.0386472,60.3518389
6.4473,4.4065,11.905,-0.0117,2.2886,87.3636,150.6762,42.4151,0.2336,2.8772,3.9954,5.2597,9.1404,2688.25,2688.286,42,351,,22,-4.0386472,60.3518389
6.1279,4.2333,11.885,-0.01,2.2891,86.3063,151.7299,40.3515,0.2357,2.9042,4.0207,5.1162,8.725,2688.5,2688.4384,43,147,,20.6,-4.0386472,60.3518389
5.78,4.0826,11.885,-0.007,2.2875,86.6266,151.7558,40.6614,0.2401,2.8391,4.0244,4.9996,8.3013,2688.5,2688.5908,43,147,,20.6,-4.0386472,60.3518389
5.6876,3.9896,11.9187,-0.0039,2.2932,87.3154,159.2757,38.6657,0.2472,2.9142,3.9896,4.9186,7.9061,2688.69,2688.7432,44,202,,22.3,-4.0386472,60.3518389
5.5566,3.9376,11.935,0.0022,2.3062,90.3355,159.759,48.4881,0.2726,3.0241,3.9376,4.8557,7.6721,2689.05,2688.8956,45,253,272,21.6,-4.0386472,60.3518389
5.4337,3.9346,11.935,0.0067,2.3215,90.4835,160.6461,50.3875,0.2994,3.2486,3.9346,4.8184,7.45,2689.05,2689.048,45,253,272,21.6,-4.0386472,60.3518389
5.2106,3.9345,11.935,0.007,2.345,92.9886,162.3194,53.3684,0.3083,3.1892,3.9345,4.7125,6.7876,2689.25,2689.2004,46,145,,23.8,-4.0386472,60.3518389
5.1154,3.9344,11.935,0.0067,2.3505,92.6781,166.061,51.7417,0.2948,3.0361,3.9344,4.5648,6.5219,2689.25,2689.3528,46,145,,23.8,-4.0386472,60.3518389
4.9988,3.8982,11.935,0.004,2.321,88.7696,172.0463,49.6925,0.2744,2.7659,3.9343,4.3941,6.2364,2689.5,2689.5052,47,175,,20.6,-4.0386472,60.3518389
4.9731,3.9161,11.935,0.003,2.2741,89.4761,177.7304,49.3062,0.2549,2.6897,3.9161,4.3267,5.9599,2689.5,2689.6576,47,175,,20.6,-4.0386472,60.3518389
4.8416,3.9522,11.975,0.001,2.2602,90.6181,179.9458,48.2367,0.251,2.6333,3.8623,4.2938,5.8024,2689.5,2689.81,47,175,,20.6,-4.0386472,60.3518389
4.6701,4.0441,11.965,0.0012,2.2743,90.5286,181.5843,49.1222,0.251,2.6661,3.7917,4.2937,5.6753,2690.25,2689.9624,50,270,,22.3,-4.0386472,60.3518389
4.4547,4.0441,11.955,0.0037,2.2882,92.7791,181.5546,48.1701,0.2526,2.7473,3.6975,4.3134,5.3804,2690.25,2690.1148,50,270,,22.3,-4.0386472,60.3518389
4.3733,4.0154,11.945,0.0072,2.2737,92.845,176.1476,49.4006,0.253,2.7192,3.6375,4.3733,5.113,2690.25,2690.2672,50,270,,22.3,-4.0386472,60.3518389
4.3731,3.9275,11.955,0.009,2.2602,93.0095,176.3631,47.8017,0.2456,2.6913,3.6374,4.5164,5.0675,2690.5,2690.4196,51,102,35,20.1,-4.0386472,60.3518389
4.373,3.9154,11.9814,0.009,2.2746,92.9753,172.0863,45.108,0.2317,2.6435,3.9174,4.5163,5.3378,2690.5,2690.572,51,102,35,20.1,-4.0386472,60.3518389
4.4337,3.9853,11.985,0.009,2.3026,90.4165,163.6404,45.0542,0.222,2.8106,4.1188,4.4337,5.8448,2690.75,2690.7244,52,238,,23.5,-4.0386472,60.3518389
4.5578,4.1861,11.995,0.009,2.3315,90.0998,162.1431,43.2957,0.2206,2.9897,4.0997,4.3728,5.8446,2690.75,2690.8768,52,238,,23.5,-4.0386472,60.3518389
4.6875,4.3174,11.9954,0.002,2.3011,89.849,162.8136,43.1449,0.2405,2.9531,3.752,4.377,5.7378,2691.05,2691.0292,53,17,,15.8,-4.0386472,60.3518389
4.7906,4.3725,11.995,0.001,2.2764,89.3739,168.1524,44.56,0.2523,2.8705,3.7431,4.413,5.8174,2691.25,2691.1816,54,272,,22.9,-4.0386472,60.3518389