AT60,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMED,RSHAL,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
22.6363,12.477,-0.0141,2.2315,95.54,180.8995,32.4482,0.2799,3.5258,22.9473,20.0909,22.2265,2175.76,2175.7672,4,5.5,0.49,18.8,-4.0310681,60.3958653
13.9423,12.4151,-0.0116,2.2577,94.3143,180.2883,36.055,0.267,3.4748,14.4218,13.5246,14.1109,2175.76,2175.9196,4,5.5,0.49,18.8,-4.0310681,60.3958653
11.3222,12.4114,-0.0146,2.2954,96.1936,176.138,38.4423,0.2813,4.0536,11.6685,11.3303,11.4351,2176.22,2176.072,6,2,,19.8,-4.0310681,60.3958653
5.8073,12.4059,-0.013,2.3486,96.7802,177.9785,47.8227,0.2946,4.3843,6.0345,5.8763,5.7333,2176.22,2176.2244,6,2,,19.8,-4.0310681,60.3958653
4.5817,12.4574,-0.0124,2.3571,97.4163,188.6359,48.3556,0.3075,4.2757,4.7768,4.9121,5.1329,2176.51,2176.3768,7,0.48,,20.4,-4.0310681,60.3958653
3.9982,12.3645,-0.0125,2.3347,99.4411,188.0279,47.2943,0.3027,4.0283,4.1624,4.3831,4.6245,2176.51,2176.5292,7,0.48,,20.4,-4.0310681,60.3958653
3.784,12.1782,-0.014,2.3359,100.526,194.2289,52.9932,0.2984,4.0892,3.9348,4.1615,4.3671,2176.51,2176.6816,7,0.48,,20.4,-4.0310681,60.3958653
3.3357,12.1982,-0.0074,2.3859,101.2734,200.1261,62.691,0.3128,4.3046,3.4412,3.4102,3.3649,2176.98,2176.834,9,3.5,,19.7,-4.0310681,60.3958653
3.3503,12.2208,-0.0039,2.4333,100.8906,202.3542,66.9476,0.3343,4.3711,3.4476,3.3316,3.2863,2176.98,2176.9864,9,3.5,,19.7,-4.0310681,60.3958653
3.3326,12.2184,-0.001,2.4417,99.6627,203.7725,66.6726,0.3382,4.1234,3.4171,3.2909,3.2571,2177.2,2177.1388,10,5.5,,22.2,-4.0310681,60.3958653
3.3169,12.2186,-0.004,2.4263,98.8205,203.2178,69.2372,0.329,4.0435,3.3951,3.269,3.2417,2177.2,2177.2912,10,5.5,,22.2,-4.0310681,60.3958653
3.2354,12.2533,-0.0048,2.4173,99.4335,205.8463,67.3016,0.3173,3.8351,3.2973,3.1459,3.1224,2177.45,2177.4436,11,14,,20.7,-4.0310681,60.3958653
3.2218,12.2686,-0.0036,2.4134,100.5262,206.4993,68.2804,0.3248,3.8681,3.2959,3.1301,3.0916,2177.7,2177.596,12,1.4,0.09,19.7,-4.0310681,60.3958653
3.2055,12.2956,-0.0025,2.4126,102.4734,206.4366,69.5383,0.3293,3.8429,3.2903,3.1373,3.1125,2177.7,2177.7484,12,1.4,0.09,19.7,-4.0310681,60.3958653
3.2238,12.3168,-0.006,2.4065,103.1807,201.9595,68.3173,0.3366,4.0775,3.3128,3.1658,3.1641,2177.95,2177.9008,13,1,,18.8,-4.0310681,60.3958653
3.2414,12.2785,-0.0061,2.4059,102.8828,198.8273,66.3947,0.3436,4.1444,3.3321,3.1847,3.194,2177.95,2178.0532,13,1,,18.8,-4.0310681,60.3958653
3.4707,12.2343,-0.0049,2.3983,101.4396,195.4777,68.9159,0.3596,4.1264,3.5837,3.3666,3.3775,2178.27,2178.2056,14,3.7,,18.1,-4.0310681,60.3958653
3.4436,12.2421,-0.0057,2.3928,101.7626,194.6973,69.6463,0.3685,4.0196,3.5613,3.3656,3.361,2178.27,2178.358,14,3.7,,18.1,-4.0310681,60.3958653
3.3688,12.2491,-0.0063,2.3916,101.0544,196.847,71.377,0.3598,3.9212,3.4818,3.3347,3.3269,2178.65,2178.5104,16,1195,2155,28.4,-4.0310681,60.3958653
3.3348,12.2121,-0.0042,2.4042,99.7202,192.4614,69.4486,0.351,3.9721,3.4449,3.3215,3.3123,2178.65,2178.6628,16,1195,2155,28.4,-4.0310681,60.3958653
3.3749,12.2237,-0.0025,2.4194,97.2438,190.8732,68.5943,0.338,3.8863,3.4656,3.3322,3.3026,2178.65,2178.8152,16,1195,2155,28.4,-4.0310681,60.3958653
3.5595,12.2359,-0.0028,2.4319,95.519,192.9907,68.6079,0.3328,3.9113,3.6436,3.4037,3.3924,2178.65,2178.9676,16,1195,2155,28.4,-4.0310681,60.3958653
3.7889,12.2423,-0.0013,2.4416,95.1657,193.5851,67.96,0.3202,3.9018,3.8751,3.6101,3.6336,2179.47,2179.12,19,1609,,28,-4.0310681,60.3958653
3.9239,12.2163,0.0007,2.4389,94.1874,194.6447,69.1707,0.333,3.862,4.0119,3.7581,3.8065,2179.47,2179.2724,19,1609,,28,-4.0310681,60.3958653
6.8642,12.2309,-0.0031,2.3774,94.3438,194.3526,67.6349,0.3421,3.8196,6.9317,7.9296,8.829,2179.47,2179.4248,19,1609,,28,-4.0310681,60.3958653
13.7157,12.2132,-0.0059,2.3056,95.8474,191.8788,45.4451,0.3345,3.6218,13.8238,15.8528,16.7401,2179.47,2179.5772,19,1609,,28,-4.0310681,60.3958653
27.0656,12.1914,-0.0079,2.2434,97.5807,195.6331,38.7015,0.3137,3.5261,27.2742,26.0313,25.8169,2179.97,2179.7296,21,521,,25.1,-4.0310681,60.3958653
31.0255,12.1466,-0.0071,2.2262,101.2061,195.2528,35.8826,0.3003,3.3443,31.2634,28.9871,28.6131,2179.97,2179.882,21,521,,25.1,-4.0310681,60.3958653
31.4447,12.1479,-0.0065,2.2204,102.1175,187.0827,35.2067,0.3008,3.2665,31.7064,29.9059,29.3448,2179.97,2180.0344,21,521,,25.1,-4.0310681,60.3958653
26.6319,12.1646,-0.0071,2.2237,102.2905,187.3991,33.2023,0.2886,3.2998,26.6592,28.8029,36.3267,2180.28,2180.1868,22,1003,795,24.7,-4.0310681,60.3958653
30.1257,12.1093,-0.0055,2.2323,101.7501,182.8329,31.2926,0.2763,3.3691,32.0987,31.2817,39.1326,2180.28,2180.3392,22,1003,795,24.7,-4.0310681,60.3958653
28.3098,12.0975,-0.005,2.2433,101.9289,183.6049,33.8957,0.2696,3.307,31.6639,32.0135,38.6825,2180.48,2180.4916,23,1670,,26.4,-4.0310681,60.3958653
26.6033,12.081,-0.0064,2.2456,102.2869,181.1521,35.3437,0.278,3.2046,30.3213,31.9507,38.1464,2180.48,2180.644,23,1670,,26.4,-4.0310681,60.3958653
20.9552,12.0853,-0.0064,2.2412,102.3916,176.8779,33.9953,0.2752,3.2978,23.8031,27.7767,31.2694,2180.48,2180.7964,23,1670,,26.4,-4.0310681,60.3958653
26.0579,12.1015,-0.0034,2.2384,102.2308,172.1695,37.1859,0.2773,3.6946,30.4731,28.1374,30.4496,2180.48,2180.9488,23,1670,,26.4,-4.0310681,60.3958653
31.5362,12.0502,-0.0042,2.2403,100.9594,171.046,37.6422,0.2719,4.2846,35.9375,28.9078,32.7575,2181.49,2181.1012,27,2.1,,17.9,-4.0310681,60.3958653
33.3556,12.0232,-0.0052,2.2458,98.7587,170.5687,37.7754,0.2731,4.3772,37.0766,29.0951,34.3395,2181.49,2181.2536,27,2.1,,17.9,-4.0310681,60.3958653
26.2834,11.9652,-0.0038,2.2533,96.76,169.5592,36.8563,0.2602,4.0019,34.9718,28.4191,37.5039,2181.49,2181.406,27,2.1,,17.9,-4.0310681,60.3958653
19.2598,11.9137,-0.0057,2.2531,94.7379,172.9585,35.626,0.2541,3.5102,23.0897,21.6965,21.687,2181.49,2181.5584,27,2.1,,17.9,-4.0310681,60.3958653
9.5564,11.9579,-0.009,2.2452,95.2436,176.7218,36.5989,0.2499,3.2935,10.8075,10.7682,10.016,2181.71,2181.7108,28,0.14,,17.4,-4.0310681,60.3958653
5.5316,12.0121,-0.0096,2.2578,97.2231,184.2811,39.3509,0.2505,3.5534,5.9527,6.3555,6.1902,2181.71,2181.8632,28,0.14,,17.4,-4.0310681,60.3958653
4.3296,12.0168,-0.0059,2.309,98.8655,193.663,43.1599,0.2645,4.0482,4.5582,5.0304,5.0125,2181.71,2182.0156,28,0.14,,17.4,-4.0310681,60.3958653
2.2739,12.1036,-0.0005,2.395,99.5882,200.3305,55.2769,0.2861,4.5692,2.3019,2.5267,2.5787,2182.5,2182.168,31,14,,21,-4.0310681,60.3958653
2.3858,12.1676,0.0029,2.4606,100.232,205.0151,67.954,0.3282,4.429,2.431,2.4004,2.3972,2182.5,2182.3204,31,14,,21,-4.0310681,60.3958653
2.5084,12.2149,0.0012,2.472,100.1409,208.7881,72.5137,0.3555,4.2829,2.5674,2.4107,2.3789,2182.5,2182.4728,31,14,,21,-4.0310681,60.3958653
2.5419,12.212,-0.0037,2.4565,98.8336,211.8837,78.0683,0.3729,4.1561,2.6028,2.4193,2.3805,2182.74,2182.6252,32,0.8,0.1,17.9,-4.0310681,60.3958653
2.3081,12.2064,-0.0066,2.4458,101.6718,214.8896,73.1034,0.3634,4.1254,2.3035,2.3849,2.4374,2182.74,2182.7776,32,0.8,0.1,17.9,-4.0310681,60.3958653
2.3496,12.1997,-0.0071,2.4435,101.9726,214.2194,71.5607,0.3868,4.0905,2.3364,2.4073,2.4743,2182.74,2182.93,32,0.8,0.1,17.9,-4.0310681,60.3958653
2.4493,12.2079,-0.0048,2.4382,101.8954,216.5081,72.4404,0.3568,4.0675,2.4464,2.4608,2.5154,2182.74,2183.0824,32,0.8,0.1,17.9,-4.0310681,60.3958653
2.4965,12.2092,-0.004,2.4321,101.4668,215.8399,74.3735,0.3578,4.0711,2.5006,2.489,2.5367,2183.48,2183.2348,35,1.1,,16.8,-4.0310681,60.3958653
2.5631,12.2053,-0.0047,2.428,100.8723,213.3474,67.5626,0.3226,4.0148,2.5956,2.5934,2.6164,2183.48,2183.3872,35,1.1,,16.8,-4.0310681,60.3958653
2.4661,12.2051,-0.0043,2.4195,100.981,215.292,69.7566,0.3188,3.983,2.492,2.5231,2.5467,2183.48,2183.5396,35,1.1,,16.8,-4.0310681,60.3958653
2.3557,12.2015,-0.0047,2.4257,101.0178,216.9108,64.3311,0.3187,3.9395,2.3844,2.4117,2.4355,2183.48,2183.692,35,1.1,,16.8,-4.0310681,60.3958653
2.3151,12.2132,-0.007,2.4359,101.9913,217.8553,73.0751,0.308,3.9972,2.3518,2.3546,2.3754,2183.48,2183.8444,35,1.1,,16.8,-4.0310681,60.3958653
2.3066,12.2161,-0.0045,2.4453,103.8944,229.1646,77.6959,0.3757,4.2067,2.3265,2.3424,2.3886,2185.77,2185.3684,44,2.8,0.16,17.6,-4.0310681,60.3958653
2.2975,12.2085,-0.0035,2.445,103.9071,229.2991,79.107,0.3646,4.2765,2.3145,2.336,2.3843,2185.77,2185.5208,44,2.8,0.16,17.6,-4.0310681,60.3958653
2.3031,12.2109,-0.0067,2.4429,104.2719,228.4919,77.0733,0.353,4.1662,2.317,2.3438,2.3957,2185.77,2185.6732,44,2.8,0.16,17.6,-4.0310681,60.3958653
2.3202,12.2392,-0.0079,2.4437,104.234,227.9505,77.9949,0.354,4.0865,2.3328,2.3661,2.4211,2185.77,2185.8256,44,2.8,0.16,17.6,-4.0310681,60.3958653
2.33,12.2482,-0.0081,2.448,104.2343,224.4869,77.6164,0.3571,3.9388,2.3421,2.3791,2.4353,2186.06,2185.978,45,0.14,,18.1,-4.0310681,60.3958653
2.3766,12.2434,-0.0084,2.4537,104.0229,222.8431,74.7028,0.3586,4.0142,2.3853,2.4454,2.5073,2186.06,2186.1304,45,0.14,,18.1,-4.0310681,60.3958653
2.3902,12.2385,-0.0089,2.4514,103.806,221.6526,77.4517,0.3596,4.2845,2.3951,2.463,2.5364,2186.27,2186.2828,46,138,,27.3,-4.0310681,60.3958653
2.404,12.2277,-0.008,2.4471,102.9184,219.5151,72.6122,0.3665,4.3515,2.4062,2.482,2.5581,2186.5,2186.4352,47,0.14,,18.5,-4.0310681,60.3958653
2.4104,12.2263,-0.006,2.4364,102.8553,216.8389,70.3038,0.3571,4.3586,2.4115,2.4918,2.5673,2186.5,2186.5876,47,0.14,,18.5,-4.0310681,60.3958653
2.3974,12.2117,-0.0055,2.4317,102.2814,215.0941,71.7589,0.362,4.2147,2.3911,2.5058,2.5724,2186.5,2186.74,47,0.14,,18.5,-4.0310681,60.3958653
2.334,12.1707,-0.0046,2.4298,101.1592,213.0522,70.2478,0.3671,4.2388,2.318,2.4625,2.5409,2187.03,2186.8924,49,465,,29.3,-4.0310681,60.3958653
2.2805,12.1198,-0.0016,2.4348,100.1971,213.5975,75.5018,0.3672,4.4531,2.2548,2.4315,2.5199,2187.03,2187.0448,49,465,,29.3,-4.0310681,60.3958653
2.2581,12.1566,-0.0017,2.4217,99.7403,213.5067,74.5039,0.3582,4.4264,2.2277,2.4196,2.5122,2187.25,2187.1972,50,10,,23.7,-4.0310681,60.3958653
2.2283,12.1917,-0.0031,2.3744,100.0126,211.6761,71.1556,0.3374,4.3991,2.1702,2.3746,2.5187,2187.25,2187.3496,50,10,,23.7,-4.0310681,60.3958653
2.1866,12.1333,-0.0036,2.3372,99.6721,209.7581,59.6376,0.3382,4.2609,2.1116,2.3354,2.5308,2187.5,2187.502,51,0.12,,14,-4.0310681,60.3958653
2.1197,12.1319,-0.0015,2.3468,98.4882,209.2252,58.5896,0.3266,4.647,2.0274,2.3317,2.5484,2187.75,2187.6544,52,1.8,,11,-4.0310681,60.3958653
2.115,12.1931,0.0028,2.391,99.8416,204.9332,70.2687,0.3359,5.1527,2.0114,2.3613,2.5706,2187.75,2187.8068,52,1.8,,11,-4.0310681,60.3958653
2.1237,12.2387,0.0049,2.3978,100.2402,200.8787,70.2397,0.3525,5.3399,2.0152,2.3787,2.5834,2188.05,2187.9592,53,0.44,,7.4,-4.0310681,60.3958653
2.1727,12.1069,-0.0023,2.358,101.2602,203.5627,65.9136,0.3556,5.4176,2.0447,2.4883,2.7701,2188.05,2188.1116,53,0.44,,7.4,-4.0310681,60.3958653
2.1676,12.0181,-0.0048,2.3311,101.5004,193.5581,64.3433,0.3536,5.2103,2.0297,2.6482,3.0871,2188.25,2188.264,54,0.15,,6.1,-4.0310681,60.3958653
2.3648,12.0221,-0.0015,2.3502,101.1862,185.9412,59.5451,0.3395,5.0034,2.2073,3.0062,3.6193,2188.49,2188.4164,55,0.25,,17.1,-4.0310681,60.3958653
2.524,12.0811,0.003,2.4101,99.127,173.8273,57.4343,0.2974,4.6113,2.3534,3.2515,3.9573,2188.49,2188.5688,55,0.25,,17.1,-4.0310681,60.3958653
5.8719,12.1442,0.0087,2.4975,97.6304,155.9253,56.0331,0.22,4.2761,5.5355,8.6758,10.2133,2188.49,2188.7212,55,0.25,,17.1,-4.0310681,60.3958653
6.1259,12.2463,0.0127,2.5816,78.5183,149.1515,42.0582,0.1484,4.0429,5.7787,11.5084,14.1252,2188.49,2188.8736,55,0.25,,17.1,-4.0310681,60.3958653
2.9308,12.3417,-0.0034,2.5945,77.7299,138.5725,29.3959,0.0943,3.8504,2.7293,3.6241,4.0238,2189.72,2189.3308,60,178,0.35,27.1,-4.0310681,60.3958653
2.1837,12.3404,-0.0043,2.5785,86.0551,158.8732,40.5966,0.1547,4.1094,2.0369,2.6654,2.9874,2189.72,2189.4832,60,178,0.35,27.1,-4.0310681,60.3958653
2.0644,12.343,-0.007,2.5117,91.5253,165.9548,56.3835,0.2505,4.3626,1.9243,2.3908,2.6484,2189.72,2189.6356,60,178,0.35,27.1,-4.0310681,60.3958653
2.1769,12.3456,-0.0072,2.4381,96.7355,188.1161,66.4759,0.3377,4.5841,2.0304,2.3821,2.5757,2189.72,2189.788,60,178,0.35,27.1,-4.0310681,60.3958653
2.2378,12.3856,-0.008,2.3712,98.979,198.109,64.7902,0.3601,4.5687,2.089,2.3915,2.556,2189.72,2189.9404,60,178,0.35,27.1,-4.0310681,60.3958653
2.1328,12.3576,-0.0065,2.3447,100.7809,206.0039,63.0654,0.3544,4.4626,2.0173,2.3203,2.4622,2189.72,2190.0928,60,178,0.35,27.1,-4.0310681,60.3958653
2.2893,12.0861,0.0005,2.4034,104.0753,217.8184,72.4415,0.3478,4.5401,2.2271,2.3644,2.4441,2191.57,2191.1596,67,0.58,,20.7,-4.0310681,60.3958653
2.2817,12.1178,-0.0031,2.4166,103.376,217.6808,76.7781,0.3629,4.4024,2.2619,2.354,2.4291,2191.57,2191.312,67,0.58,,20.7,-4.0310681,60.3958653
2.2995,12.097,-0.0025,2.4204,103.4683,218.6323,78.9363,0.3543,4.2363,2.2884,2.3757,2.445,2191.57,2191.4644,67,0.58,,20.7,-4.0310681,60.3958653
2.3241,12.1082,-0.0025,2.4301,103.2294,224.2463,80.928,0.3543,4.1474,2.3139,2.3944,2.4522,2191.57,2191.6168,67,0.58,,20.7,-4.0310681,60.3958653
2.3129,12.1245,-0.001,2.4349,103.2241,223.0916,73.9903,0.348,4.1953,2.3061,2.3901,2.4436,2191.78,2191.7692,68,3.4,,24.7,-4.0310681,60.3958653
2.3016,12.112,0.0016,2.4148,103.0553,217.9807,69.5564,0.344,4.3719,2.297,2.3846,2.4374,2191.78,2191.9216,68,3.4,,24.7,-4.0310681,60.3958653
2.1996,12.0936,0.0012,2.3778,103.2147,217.7325,67.4211,0.3418,4.4258,2.2008,2.2964,2.3728,2191.78,2192.074,68,3.4,,24.7,-4.0310681,60.3958653
2.1535,12.0803,-0.0022,2.3492,103.4795,219.0123,66.2728,0.327,4.4562,2.1491,2.2214,2.2995,2192.48,2192.2264,71,3.4,,18.2,-4.0310681,60.3958653
2.118,12.029,-0.0002,2.3619,103.9706,221.8004,69.5121,0.3286,4.5467,2.111,2.1732,2.2364,2192.48,2192.3788,71,3.4,,18.2,-4.0310681,60.3958653
2.1026,12.0415,0.0027,2.3895,104.0214,222.9488,71.2062,0.3677,4.6295,2.0949,2.1548,2.2102,2192.48,2192.5312,71,3.4,,18.2,-4.0310681,60.3958653
2.1364,12.0469,0.0006,2.4028,104.4137,222.5064,79.743,0.3936,4.6294,2.1335,2.1833,2.2322,2192.48,2192.6836,71,3.4,,18.2,-4.0310681,60.3958653
2.1692,12.0793,-0.0016,2.3906,104.7726,223.8409,81.3637,0.3995,4.6372,2.1679,2.2112,2.2668,2192.48,2192.836,71,3.4,,18.2,-4.0310681,60.3958653
2.1253,12.0606,-0.0022,2.336,104.7326,230.041,64.2213,0.3318,4.7916,2.1197,2.1798,2.239,2193.49,2193.1408,75,204,,27,-4.0310681,60.3958653
2.119,12.0564,-0.0035,2.3368,104.3443,228.6487,67.2542,0.3293,4.7505,2.107,2.1593,2.228,2193.49,2193.2932,75,204,,27,-4.0310681,60.3958653
2.2051,12.0712,-0.0005,2.3781,104.5214,226.114,69.6209,0.3437,4.8598,2.198,2.2256,2.285,2193.49,2193.4456,75,204,,27,-4.0310681,60.3958653
2.2598,12.0794,0.003,2.4256,104.4387,226.5856,76.304,0.3553,4.5852,2.2578,2.2871,2.3382,2193.49,2193.598,75,204,,27,-4.0310681,60.3958653
2.2728,12.0913,0.0027,2.4485,104.3872,227.1558,72.9645,0.3621,4.4342,2.2707,2.3133,2.3645,2193.49,2193.7504,75,204,,27,-4.0310681,60.3958653
2.2768,12.0771,-0.0016,2.4481,103.6771,228.5155,78.348,0.3516,4.4149,2.274,2.3225,2.3747,2193.49,2193.9028,75,204,,27,-4.0310681,60.3958653
2.358,12.0704,0.002,2.441,103.5736,224.3979,70.675,0.3692,4.8802,2.3557,2.4308,2.502,2194.78,2194.36,80,1.1,,18.5,-4.0310681,60.3958653
2.3838,12.0717,0.0007,2.4103,103.3045,223.1541,67.391,0.3602,4.343,2.3833,2.4589,2.5347,2194.78,2194.5124,80,1.1,,18.5,-4.0310681,60.3958653
2.5078,12.0782,-0.0017,2.3771,102.5718,217.4956,64.3683,0.3455,4.1983,2.5134,2.5798,2.6708,2194.78,2194.6648,80,1.1,,18.5,-4.0310681,60.3958653
2.4457,12.0466,-0.003,2.3597,102.6,215.9969,65.9259,0.3174,4.2326,2.4471,2.551,2.641,2194.78,2194.8172,80,1.1,,18.5,-4.0310681,60.3958653
2.4131,12.0589,0.0001,2.3825,103.2657,214.8859,70.2746,0.3113,4.6939,2.4114,2.5367,2.6263,2194.78,2194.9696,80,1.1,,18.5,-4.0310681,60.3958653
2.4062,12.0766,0.0023,2.4109,103.0209,212.4052,74.9711,0.3281,4.9023,2.4034,2.5344,2.6235,2194.78,2195.122,80,1.1,,18.5,-4.0310681,60.3958653
2.4813,12.0785,0.0029,2.4277,103.3365,210.2984,75.6922,0.354,4.6323,2.4808,2.583,2.6622,2195.49,2195.2744,83,0.49,,17.9,-4.0310681,60.3958653
2.4814,12.0885,0.0022,2.4206,104.1099,210.6962,78.8088,0.3681,4.5403,2.4812,2.5846,2.667,2195.49,2195.4268,83,0.49,,17.9,-4.0310681,60.3958653
2.4452,12.0649,-0.0002,2.4239,103.3347,212.8777,66.8239,0.3738,4.2313,2.4371,2.5603,2.6518,2195.49,2195.5792,83,0.49,,17.9,-4.0310681,60.3958653
2.4152,12.1025,-0.0028,2.4192,103.2074,212.4862,71.3246,0.35,4.333,2.3972,2.537,2.636,2195.49,2195.7316,83,0.49,,17.9,-4.0310681,60.3958653
2.4005,12.115,-0.0038,2.4278,102.9536,214.7177,72.5512,0.3364,4.3804,2.3773,2.5255,2.628,2196.03,2195.884,85,25,,14.6,-4.0310681,60.3958653
2.2872,12.1497,-0.0049,2.435,102.7212,216.1766,77.0447,0.3262,4.3057,2.2287,2.4397,2.5593,2196.03,2196.0364,85,25,,14.6,-4.0310681,60.3958653
2.2769,12.2072,-0.0045,2.4461,103.3561,218.3765,82.5393,0.3446,4.2875,2.2034,2.4265,2.5609,2196.27,2196.1888,86,3.2,,11.8,-4.0310681,60.3958653
2.2868,12.2359,-0.0021,2.4583,102.7801,219.0475,79.1674,0.3623,4.1642,2.2037,2.4414,2.601,2196.27,2196.3412,86,3.2,,11.8,-4.0310681,60.3958653
2.2891,12.2917,-0.0037,2.4541,102.0829,217.4514,82.3206,0.3751,4.179,2.2019,2.451,2.6261,2196.5,2196.4936,87,10,,10.6,-4.0310681,60.3958653
2.2339,12.2658,-0.0031,2.4494,102.6275,208.9717,73.745,0.3731,4.2217,2.1243,2.5584,2.8832,2196.77,2196.646,88,0.18,0.12,6.7,-4.0310681,60.3958653
2.3993,12.246,-0.0028,2.4397,102.2656,201.1904,71.2181,0.3795,4.2481,2.2772,2.8171,3.1969,2196.77,2196.7984,88,0.18,0.12,6.7,-4.0310681,60.3958653
2.6989,12.2066,0.0005,2.4209,101.113,190.6472,69.3621,0.3803,4.0403,2.5677,3.2183,3.6358,2196.97,2196.9508,89,0.27,,8.1,-4.0310681,60.3958653
2.8674,12.1944,-0.0024,2.3943,98.7607,177.6843,67.106,0.3466,3.9759,2.7323,3.453,3.8965,2196.97,2197.1032,89,0.27,,8.1,-4.0310681,60.3958653
3.7301,12.1939,-0.0025,2.393,83.017,157.0083,46.9552,0.2682,3.9567,3.592,5.8055,7.6889,2197.48,2197.2556,91,12,,22.6,-4.0310681,60.3958653
4.317,12.1621,-0.001,2.4369,75.5611,141.4562,42.4082,0.1887,4.3015,4.1885,7.1116,10.4314,2197.48,2197.408,91,12,,22.6,-4.0310681,60.3958653
5.1735,12.1103,0.0012,2.5027,69.8392,133.2077,36.2199,0.1378,4.3016,5.0939,8.2039,11.7197,2197.48,2197.5604,91,12,,22.6,-4.0310681,60.3958653
5.1804,12.1129,-0.0025,2.5526,67.7227,131.7592,32.2628,0.127,4.3786,5.1334,8.2353,11.2872,2197.77,2197.7128,92,232,46,27.6,-4.0310681,60.3958653
5.0014,12.1676,-0.0001,2.5899,65.3332,129.3927,31.882,0.1298,4.238,4.9583,8.0226,10.8314,2197.77,2197.8652,92,232,46,27.6,-4.0310681,60.3958653
3.0293,12.2075,0.0002,2.603,72.2576,135.3155,32.4186,0.1442,4.0966,2.9081,4.2085,5.1255,2197.97,2198.0176,93,908,,29.1,-4.0310681,60.3958653
2.5539,12.1857,-0.0018,2.5419,81.4637,146.6457,38.6401,0.181,3.6742,2.4274,3.1183,3.6192,2197.97,2198.17,93,908,,29.1,-4.0310681,60.3958653
2.3384,12.195,-0.0069,2.4269,87.9413,159.2642,38.3766,0.2454,3.398,2.2195,2.7328,3.1438,2198.5,2198.3224,95,132,,26.3,-4.0310681,60.3958653
2.2525,12.2008,-0.0103,2.3321,91.9368,164.8903,40.246,0.2951,3.2982,2.1381,2.6017,2.9922,2198.5,2198.4748,95,132,,26.3,-4.0310681,60.3958653
2.0854,12.2862,-0.0078,2.3033,91.8451,169.0778,44.828,0.3255,3.5574,1.9862,2.3425,2.6075,2198.75,2198.6272,96,239,181,26.7,-4.0310681,60.3958653
2.1258,12.3827,-0.0007,2.3046,95.6593,175.8441,45.9365,0.3269,3.8759,2.028,2.3222,2.5005,2198.75,2198.7796,96,239,181,26.7,-4.0310681,60.3958653
2.0738,12.4619,-0.0011,2.287,97.7747,180.2167,42.1354,0.3365,3.5873,1.9816,2.2545,2.4232,2198.75,2198.932,96,239,181,26.7,-4.0310681,60.3958653
2.0349,12.4765,-0.0026,2.2448,99.1248,181.6316,41.3989,0.3337,3.3229,1.9461,2.215,2.3873,2199.26,2199.0844,98,374,,29,-4.0310681,60.3958653
1.9058,12.2323,-0.0021,2.2174,100.0969,181.2234,37.3585,0.3307,3.1511,1.8336,2.0385,2.2405,2199.26,2199.2368,98,374,,29,-4.0310681,60.3958653
2.0036,12.2072,-0.0045,2.207,100.409,182.3265,35.0781,0.3242,3.186,1.9409,2.074,2.2669,2199.5,2199.3892,99,818,,29,-4.0310681,60.3958653
2.1141,12.2348,-0.0076,2.2115,98.2541,185.2141,36.6209,0.3186,3.1716,2.0703,2.1837,2.3631,2199.5,2199.5416,99,818,,29,-4.0310681,60.3958653
2.1665,12.2368,-0.0075,2.2329,97.7111,184.0998,44.1227,0.3181,3.1361,2.1366,2.2767,2.4461,2199.78,2199.694,100,537,735,28.7,-4.0310681,60.3958653
2.1857,12.2254,-0.0064,2.2543,97.0878,183.3509,40.3313,0.3191,3.4141,2.1614,2.3172,2.4821,2199.78,2199.8464,100,537,735,28.7,-4.0310681,60.3958653
2.1324,12.1466,-0.0065,2.2783,95.9518,180.2509,41.7951,0.3205,3.731,2.1129,2.3237,2.4617,2200.01,2199.9988,101,670,,29.6,-4.0310681,60.3958653